Source:;C:\Users\Pokor\OneDrive\Documents\KiCad\Hifi_LeachAmp\LeachAmp_kicad\LeachAmp_kicad.sch;
Date:;07.05.2021 14:27;
Tool:;Eeschema (5.1.5)-3;
Component Count:;119;
Ref;Value;Footprint
C1;390pF;Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm
C2;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C3;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C4;100u/63V;Capacitor_THT:CP_Radial_D12.5mm_P7.50mm
C5;100u/63V;Capacitor_THT:CP_Radial_D12.5mm_P7.50mm
C6;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C6A1;330u/16V;Capacitor_THT:CP_Radial_D10.0mm_P5.00mm
C6B1;330u/16V;Capacitor_THT:CP_Radial_D10.0mm_P5.00mm
C7;100n/50V film;Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
C8;180p;Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm
C9;47p;Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm
C10;10p;Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm
C11;10p;Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm
C12;100n/50V film;Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
C13;100u/63V;Capacitor_THT:CP_Radial_D12.5mm_P7.50mm
C14;100u/63V;Capacitor_THT:CP_Radial_D12.5mm_P7.50mm
C15;100n/100V;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C16;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C17;100n/50V film;Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
C18;100n/50V film;Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
C19;10n/50V film;Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
C20;10n/50V film;Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
C21;CP;Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn
C22;CP;Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn
C23;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C24;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
C25;CP;Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn
C26;CP;Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn
C27;100n/100V film;Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4
D5;1N4148;Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal
D6;1N4148;Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal
D7;1N4148;Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal
D8;1N4148;Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal
D9;1N4148;Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal
D10;1N4148;Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal
D11;1N4007;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
D12;1N4007;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
D13;20V/0,5W;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
D14;20V/0,5W;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
D15;20V/0,5W;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
D16;20V/0,5W;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
F1;Fuse;Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm
F2;Fuse;Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm
J1;Conn_01x12_Female;LeachAmp_library:Wago-256-406
J2;Conn_01x04_Female;LeachAmp_library:Wago-256-402
